"text","text_en","cmp_code","eu_code"
"ZEIT FÜR DEUTSCHLAND.","TIME FOR GERMANY.",NA,NA
"PROGRAMM DER ALTERNATIVE FÜR DEUTSCHLAND FÜR DIE WAHL ZUM 21. DEUTSCHEN BUNDESTAG","PROGRAM OF THE ALTERNATIVE FOR GERMANY FOR THE ELECTION TO THE 21ST GERMAN FEDERAL PARLIAMENT",NA,NA
"ZEIT FÜR WOHLSTAND SOZIALE MARKTWIRTSCHAFT UND GESUNDHEIT","TIME FOR PROSPERITY SOCIAL MARKET ECONOMY AND HEALTH","H",NA
"SOZIALE MARKTWIRTSCHAFT","SOCIAL MARKET ECONOMY","H",NA
"Wir stehen fest zu den Prinzipien der Sozialen Marktwirtschaft, die seit Jahrzehnten Wohlstand und sozialen Frieden in unserem Land sichern.","We are firmly committed to the principles of the social market economy, which have ensured prosperity and social peace in our country for decades.","403",NA
"Wir wollen in einer Zeit globaler Herausforderungen die Grundwerte unserer Wirtschaftsordnung bewahren","In a time of global challenges, we want to preserve the fundamental values of our economic order","403",NA
"und so weiterentwickeln, dass wir eine freiheitliche und erfolgreiche Gesellschaft gewährleisten, in der die Bürger ihr Leben eigenverantwortlich und selbstbestimmt führen können.","and develop them further in such a way that we can guarantee a free and successful society in which citizens can lead their lives independently and self-determined.","201.1",NA
"Wir setzen uns für eine wettbewerbsfähige Wirtschaft ein, die Innovation","We are committed to a competitive economy that promotes innovation","411",NA
"und Unternehmertum fördert,","and entrepreneurship,","402",NA
"Wohlstand für alle schafft","creates prosperity for all","410",NA
"und insbesondere dem Mittelstand neue Entfaltungsmöglichkeiten eröffnet.","and, in particular, opens up new opportunities for small and medium-sized enterprises.","704",NA
"Wir treten dafür ein, dass Arbeitnehmer immer deutlich bessergestellt sind als Empfänger von Sozialleistungen.","We are committed to ensuring that employees are always significantly better off than recipients of social benefits.","505",NA
"Ihre Arbeit soll eine auskömmliche und sichere Rente gewährleisten.","Their work should guarantee an adequate and secure pension.","701",NA
"Wir tragen Sorge dafür, dass wirklich Bedürftige in den Grundsicherungssystemen aufgefangen werden.","We ensure that those who are really in need are covered by the basic security systems.","504",NA
"Ein selbstgewähltes Leben auf Kosten der Allgemeinheit wird nicht gefördert.","A self-chosen life at the expense of the general public is not encouraged.","505",NA
"Mit unseren Maßnahmen bringen wir wieder Optimismus und Zuversicht in die Gesellschaft.","Our measures will bring optimism and confidence back into society.","305.1",NA
"Viele Regelungen der EU schwächen Wirtschaft und Wettbewerb,","Many EU regulations weaken the economy and competition","110",NA
"statt sie zu stärken.","instead of strengthening them.","410",NA
"Beispiele dafür sind der „Green Deal“ und der Einfluss auf Energiefragen.","Examples of this are the ""Green Deal"" and the influence on energy issues.","110",NA
"Freies Unternehmertum und Wirtschaftsstandort stärken","Strengthening free enterprise and the business location","H",NA
"Wir streben eine funktionierende Wirtschaft an, die aus eigener Kraft und Profitabilität in Forschung und Entwicklung investiert, um dem internationalen Markt innovative und wettbewerbsfähige Angebote zu machen.","We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products.","411",NA
"Deutsche Unternehmen sollen an der Weltspitze der Exportunternehmen stehen","German companies should be among the world's leading exporters","410",NA
"und „Made in Germany“ wieder zu einem Markenzeichen für Exzellenz und Einzigartigkeit machen.","and once again make ""Made in Germany"" a trademark for excellence and uniqueness.","601.1",NA
"Dafür streben wir eine auf Leistung und Talentförderung ausgelegte Schul- und Berufsausbildung an.","To this end, we are striving for school and vocational training that is geared towards performance and talent development.","411",NA
"Unsere Universitäten sollen in die Lage versetzt werden, erstklassige Talente aus Deutschland und aller Welt anzuziehen und unser Land in den Top-Branchen zu einem internationalen Innovationsführer zu machen.","Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors.","411",NA
"Dazu zählen wir neben den Traditionsbranchen wie Automobilbau, Maschinenbau, Chemie auch moderne Hochtechnologien wie Dual- Fluid-Nukleartechnik, Weltraumtechnologie, Nano-Technologie und Künstliche Intelligenz.","In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence.","411",NA
"Deutschland ist als Wirtschaftsstandort unattraktiv geworden","Germany has become unattractive as a business location","H",NA
"Deutschland ragte in früheren Jahrzehnten international heraus durch wirtschaftliche und wissenschaftliche Exzellenz.","In previous decades, Germany stood out internationally for its economic and scientific excellence.","601.1",NA
"Die gegenwärtige Situation ist hingegen von einem wirtschaftlichen","The current situation, on the other hand, is characterized by an economic","410",NA
