"text","text_en","cmp_code","eu_code"
"A. EINLEITUNG","A. INTRODUCTION","H",NA
"Liebe Bürgerinnen und Bürger,am 24. September ist Bundestagswahl.","Dear citizens,September 24 is the federal election.","000",NA
"Bevor wir Ihnen sagen, was wir vorhaben, haben wir eine Bitte an Sie: Diskutieren Sie mit, mischen Sie sich ein, gehen Sie wählen.","Before we tell you what we plan to do, we have a request for you: join the discussion, get involved, go vote.","202.1",NA
"Treten Sie mit uns für die Werte ein, die unser Land und Europa stark und lebenswert gemacht haben, die uns weit über Partei- und Ländergrenzen hinweg verbinden: die Würde des Menschen,","Join us in standing up for the values that have made our country and Europe strong and worth living in, values that unite us far beyond party and national borders: human dignity,","201.1",NA
"Gerechtigkeit und Gleichberechtigung,","justice and equality,","503",NA
"Freiheit und Demokratie.","freedom and democracy.","201.1",NA
"Diese Werte schienen uns bis eben noch selbstverständlich.","These values seemed self-evident to us until just now.","503",NA
"Nun erleben wir, wie sie hierzulande, in Europa und vielen Teilen der Welt massiv infrage gestellt werden.","Now we are witnessing how they are being massively questioned in this country, in Europe and in many parts of the world.","201.1",NA
"Radikaler Nationalismus kehrt zurück.","Radical nationalism returns.","201.1",NA
"Die ökologische Krise spitzt sich zu.","The ecological crisis is coming to a head.","501",NA
"Europa ist in sozialer und wirtschaftlicher Hinsicht tief gespalten.","Europe is deeply divided in social and economic terms.","503",NA
"Viele Menschen sind auf der Flucht vor Kriegen und Krisen.","Many people are fleeing wars and crises.","201.2",NA
"Diese Bundestagswahl ist wichtig, vielleicht historisch.","This federal election is important, perhaps historic.","202.1",NA
"Wir haben es gemeinsam in der Hand, jetzt eine bessere Zukunft zu gestalten.","Together, we have it in our hands to create a better future now.","202.1",NA
"Wir können so wirtschaften, dass Boden, Luft und Wasser sauber bleiben, dass wir die Grundlagen unseres Lebens auch für die kommenden Generationen erhalten.","We can operate in such a way that the soil, air and water remain clean, that we preserve the foundations of our lives for future generations.","416.2",NA
"Eine Gesellschaft ist möglich, in der alle Menschen am Wohlstand beteiligt sind, in der jede und jeder eine Chance bekommt und selbstbestimmt die eigenen Ziele verfolgt.","A society is possible in which all people share in the prosperity, in which everyone gets a chance and pursues his or her own goals in a self-determined manner.","503",NA
"Wir wollen die Folgen des demografischen Wandels nicht dem Schicksal überlassen, sondern das Beste daraus machen: Vom generationengerechten Zusammenleben über die Entwicklung ländlicher Räume bis hin zum Strukturwandel in Großstädten sind Innovationen gefragt, nicht Fatalismus.","We do not want to leave the consequences of demographic change to fate, but make the best of them: From generation-appropriate coexistence to the development of rural areas and structural change in large cities, innovations are needed, not fatalism.","411",NA
"Wir können unseren Teil dazu beitragen, dass Fluchtursachen bekämpft werden und nicht die Flüchtenden.","We can do our part to fight the causes of flight and not the refugees.","107",NA
"Globalisierung und Digitalisierung sind keine Naturgewalten, die sich gegen den Menschen richten.","Globalization and digitization are not forces of nature that turn against people.","411",NA
"Sie können unser Leben besser machen, wenn wir international faire Regeln durchsetzen","They can make our lives better if we enforce fair rules internationally","107",NA
"und die Bürgerrechte schützen.","and protect civil rights.","201.1",NA
"Auch hier müssen der Mensch und demokratische Grundwerte im Mittelpunkt stehen.","Here, too, the focus must be on people and basic democratic values.","201.1",NA
"Wir müssen uns jetzt entscheiden und mutig anpacken: für eine soziale und ökologische Modernisierung unserer Wirtschaft,","We must decide now and take bold action: for a social and ecological modernization of our economy","503",NA
