"text","text_en","cmp_code","eu_code"
"Soziale Gerechtigkeit ist das Programm der LINKEN.","Social justice is the program of the LEFT.","503",NA
"Vor der Wahl und nach der Wahl, in den Parlamenten und in Auseinandersetzungen im Betrieb, auf der Straße, in Initiativen, im Alltag:","Before the election and after the election, in parliaments and in disputes at work, on the street, in initiatives, in everyday life:","503",NA
"Wir wollen Armut beseitigen und Reichtum umverteilen.","We want to eliminate poverty and redistribute wealth.","503",NA
"Soziale Grundrechte,","Basic social rights,","503",NA
"gute Arbeit für alle","good work for all and","701",NA
"und freie Bildung.","free education.","506",NA
"Wir wollen die natürlichen Lebensgrundlagen erhalten und für künftige Generationen wieder verbessern.","We want to preserve the natural foundations of life and improve them again for future generations.","501",NA
"Wir wollen das öffentliche gemeinsame Eigentum stärken","We want to strengthen public common ownership","413",NA
"und die öffentliche Daseinsvorsorge ausbauen und verbessern.","and expand and improve public services.","411",NA
"Wir haben eine Vision, wie wir den ökologischen Umbau sozial gerecht gestalten wollen.","We have a vision of how we want to shape the ecological transformation in a socially just way.","416",NA
"Wir stehen für den Frieden ein.","We stand up for peace.","106",NA
"Wir verteidigen die Bürgerrechte","We defend civil rights","201",NA
"und wenden uns gegen den ständigen Abbau von Bürger- und Menschenrechten.","and oppose the constant dismantling of civil and human rights.","201",NA
"Das macht von Anfang an unsere Politik aus.","This has been our policy from the very beginning.","305",NA
"Unsere Überzeugung wechselt nicht, weil Wahlen sind.","Our conviction does not change because there are elections.","305",NA
"Viele reden jetzt – pünktlich zu Beginn des Wahlkampfes – wieder von sozialer Politik, aber Worte kosten nichts.","Many are now - just in time for the start of the election campaign - talking about social policies again, but words cost nothing.","305",NA
"DIE LINKE macht Druck.","DIE LINKE is putting on the pressure.","305",NA
"Wir wollen dafür sorgen, dass auf Worte Taten folgen.","We want to ensure that words are followed by actions.","305",NA
"Niemand darf arm werden, weil er oder sie alt ist, erwerbslos, behindert, chronisch krank oder weil die Eltern arm sind.","No one should become poor because he or she is old, unemployed, disabled, chronically ill, or because their parents are poor.","503",NA
"Wir wollen Armut bekämpfen:","We want to fight poverty:","503",NA
"Das Hartz-IV-System muss weg.","The Hartz IV system must go.","504",NA
"Stattdessen soll mittelfristig eine bedarfsdeckende, sanktionsfreie Mindestsicherung eingeführt werden.","Instead, a needs-covering, sanction-free minimum income scheme is to be introduced in the medium term.","504",NA
"Erwerbslose werden drangsaliert, denn sie dürfen auch die schlechtesten Jobs nicht ablehnen, Sanktionen drohen.","The unemployed are harassed because they are not allowed to refuse even the worst jobs; sanctions are threatened.","504",NA
"Das erhöht auch den Druck auf die Beschäftigten, niedrige Löhne und Überstunden zu akzeptieren.","This also increases the pressure on employees to accept low wages and overtime.","701",NA
"Kinder müssen wirksam vor Armut geschützt werden.","Children must be effectively protected from poverty.","706",NA
"Wir wollen für Beschäftigte wie für Erwerbslose Respekt, Würde und ein gutes Leben.","We want respect, dignity and a good life for employees and the unemployed alike.","701",NA
"Unsere Forderungen sind nicht abstrakt, sondern sehr konkret:","Our demands are not abstract, but very concrete:","701",NA
"Für bessere Löhne und Arbeitsbedingungen müssen Tarifverträge leichter für allgemeinverbindlich erklärt werden können.","For better wages and working conditions, it must be easier to declare collective agreements generally binding.","701",NA
"Der Druck auf die Beschäftigten muss beendet werden: keine Dumping-Konkurrenz durch Leiharbeit, Werkverträge und Niedriglohn.","The pressure on employees must be ended: no dumping competition through temporary work, work contracts and low wages.","701",NA
"Viele arbeiten bis zum Umfallen, und es reicht doch vorne und hinten nicht zum Leben.","Many work until they drop, and yet it is not enough to live on.","701",NA
"Auch das ist ein Ergebnis der Massenerwerbslosigkeit.","This is also a result of mass unemployment.","701",NA
"Wir brauchen Arbeitsplätze, von denen es sich gut leben lässt, für alle.","We need jobs that are good to live on, for everyone.","701",NA
"Die Renten dürfen nicht nur vor Armut schützen, sie müssen den Lebensstandard sichern.","Pensions must not only protect against poverty, they must secure the standard of living.","504",NA
"Endlich auch im Osten Deutschlands!","Finally also in the east of Germany!","503",NA
"Über 20 Jahre nach der Wende ist das Land immer noch gespalten.","More than 20 years after the fall of communism, the country is still divided.","503",NA
"Wir werden das nicht hinnehmen.","We will not accept this.","503",NA
"Das sind die Interessen, die wir aufgreifen, verteidigen, die uns am Herzen liegen.","These are the interests that we take up, defend, that we care about.","202",NA
"Die Lobby der Konzerne und Reichen findet bei uns kein Gehör.","The lobby of the corporations and the rich does not find a hearing with us.","202",NA
"Soziale Gerechtigkeit und wachsende Ungleichheit sind unvereinbar.","Social justice and growing inequality are incompatible.","503",NA
"Ungleichheit aber kann nur wirksam bekämpfen, wer den Mut hat, Reichtum zu begrenzen und so umzuverteilen, dass er allen zugutekommt.","But inequality can only be effectively combated by those who have the courage to limit wealth and redistribute it in such a way that it benefits everyone.","503",NA
"Wir knicken nicht vor den Reichen ein:","We do not cave in to the rich:","305",NA
"Wir wollen Reiche und Reichtum – Millionäre, Milliardäre, Kapitalvermögen – couragiert besteuern und sicherstellen, dass sie zur Finanzierung des Gemeinwesens angemessen beitragen.","We want to tax the rich and wealthy - millionaires, billionaires, capital assets - in a courageous way and ensure that they contribute adequately to financing the community.","503",NA
"Wir wollen die Enteignung der Bevölkerung stoppen.","We want to stop the expropriation of the population.","503",NA
"Wenige sammeln großen Reichtum in ihren Händen.","Few gather great wealth in their hands.","503",NA
"Wir wollen ihn in die öffentliche Daseinsvorsorge investieren: Bildung,","We want to invest it in public services of general interest: Education,","506",NA
"Kinderbetreuung,","Childcare,","504",NA
"öffentlicher Verkehr,","public transportation,","411",NA
"Gesundheit,","Health,","504",NA
"Pflege,","Care,","504",NA
"Wasser,","Water,","411",NA
"Energieversorgung,","Energy supply,","411",NA
"bezahlbarer Wohnraum – der Bedarf ist groß.","Affordable living space - the need is great.","503",NA
"So wird zugleich die Demokratie gestärkt und die Teilhabe von allen gesichert.","At the same time, this strengthens democracy and ensures the participation of all.","202",NA
"Bundeskanzlerin Angela Merkel will eine »marktkonforme Demokratie«.","German Chancellor Angela Merkel wants a ""democracy that conforms to the market"".","305",NA
"Dafür stehen wir nicht zur Verfügung.","We are not available for this.","305",NA
"Im Gegenteil: Wir wollen die sozialen Rechte und die Bürgerrechte stärken.","On the contrary, we want to strengthen social rights and civil rights.","201",NA
"Wir wollen die Macht der Banken und Konzerne brechen.","We want to break the power of the banks and corporations.","412",NA
"Deshalb treten wir für ein soziales, demokratisches und solidarisches Europa ein, das dem Klammergriff der Finanzmärkte entzogen wird.","That is why we advocate a social, democratic and solidarity-based Europe that is removed from the grip of the financial markets.","108",NA
"Zwischen den Ländern mögen Grenzen verlaufen.","Borders may run between countries.","108",NA
