"text","text_en","cmp_code","eu_code"
"Alles lässt sich ändern Das Wahlprogramm der FDP zur Bundestagswahl 2025","Everything can be changed The FDP's election program for the 2025 federal elections",NA,NA
"Das Programm der Freien Demokraten zur Bundestagswahl 2025","The Free Democrats' program for the 2025 federal election",NA,NA
"Inhalt","Contents","H",NA
"I. Präambel: Alles lässt sich ändern ....................................................................................................... 4","I. Preamble: Everything can be changed ....................................................................................................... 4",NA,NA
"II. Weltbeste Bildung für selbstbewusste Bürger .................................................................................. 6","II. World-class education for self-confident citizens .................................................................................. 6",NA,NA
"a. Große Chancen für die Kleinsten: Frühkindliche Bildung stärken ................................................... 6","a. Great opportunities for the youngest: Strengthening early childhood education ................................................... 6",NA,NA
"b. Moderne und selbstständige Schulen – bessere Bildungschancen für alle ..................................... 7","b. Modern and independent schools - better educational opportunities for all ..................................... 7",NA,NA
"c. Berufliche Bildung und lebenslanges Lernen stärken ...................................................................... 8","c. Strengthening vocational education and lifelong learning ...................................................................... 8",NA,NA
"d. Exzellente Rahmenbedingungen für Studium, Forschung und Innovationen ................................. 9","d. Excellent framework conditions for study, research and innovation ................................. 9",NA,NA
"e. Vielfältige Kunst und Kultur .......................................................................................................... 10","e. Diverse art and culture .......................................................................................................... 10",NA,NA
"III. Wohlstand und Aufstiegschancen für die Zukunft schaffen .......................................................... 11","III. Creating prosperity and career opportunities for the future .......................................................... 11",NA,NA
"a. Bürokratie-Burnout beenden ........................................................................................................ 11","a. End bureaucracy burnout ........................................................................................................ 11",NA,NA
"b. Ein Steuersystem, das Leistung und Investition belohnt ............................................................... 13","b. A tax system that rewards performance and investment ............................................................... 13",NA,NA
"c. Bezahlbare Energie für Bürger und Betriebe ................................................................................. 16","c. Affordable energy for citizens and businesses ................................................................................. 16",NA,NA
"d. Ein modernes Arbeitsrecht für eine moderne Arbeitswelt ........................................................... 17","d. A modern labor law for a modern working world ........................................................... 17",NA,NA
"e. Für soziale Sicherungssysteme, die Lust auf Leistung machen ..................................................... 18","e. For social security systems that make people want to work ..................................................... 18",NA,NA
"IV. Selbstbestimmt in allen Lebenslagen ............................................................................................ 20","IV. self-determination in all life situations ............................................................................................ 20",NA,NA
"a. Grundrechte und Rechtstaat bewahren ........................................................................................ 21","a. Preserving fundamental rights and the rule of law ........................................................................................ 21",NA,NA
"b. Offene Gesellschaft und liberale Demokratie ............................................................................... 24","b. An open society and liberal democracy ............................................................................... 24",NA,NA
