"text","text_en","cmp_code","eu_code"
"Nie gab es mehr zu tun","There has never been more to do",NA,NA
"Wahlprogramm der Freien Demokraten","Election program of the Free Democrats",NA,NA
"Wir sind Freie Demokraten.","We are Free Democrats.",NA,NA
"Wir glauben, dass Deutschland jetzt einen Neustart braucht.","We believe that Germany now needs a fresh start.",NA,NA
"Wir glauben, dass es moderner, digitaler und freier werden muss.","We believe that it needs to become more modern, digital and free.",NA,NA
"Wir glauben an das große Potenzial unseres Landes.","We believe in the great potential of our country.",NA,NA
"Wir sind bereit, Verantwortung dafür zu übernehmen.","We are ready to take responsibility for this.",NA,NA
"Das Programm der Freien Demokraten zur Bundestagswahl 2021","The Free Democrats' program for the 2021 federal election","H",NA
"Beschluss des 72. Ord. Bundesparteitag der Freien Demokraten vom 14.-16. Mai 2021 (vorbehaltlich der Überprüfung des Wortprotokolls)","Resolution of the 72nd Ordinary Federal Party Congress of the Free Democrats, May 14-16, 2021 (subject to review of the verbatim record).","H",NA
"Nie gab es mehr zu tun","There has never been more to do",NA,NA
"Wie es ist, darf es nicht bleiben3","As it is, it must not remain3",NA,NA
"Werden wir das Land, das in uns steckt3","Are we going to make the land that is in us3",NA,NA
"Die richtige Richtung: durch die Mitte nach vorne4","The right direction: through the center to the front4",NA,NA
"Wir wollen gestalten4","We want to shape4",NA,NA
"I.Nie war es notwendiger: Machen wir uns fit für den Aufholwettbewerb!6","I.Never has it been more necessary: Let's get fit for catch-up competition!6",NA,NA
"Sicherung der Sozialen Marktwirtschaft und Stärkung der Wirtschaft6","Safeguarding the social market economy and strengthening the economy6",NA,NA
"Entlastung und faire Steuern10","Relief and fair taxes10",NA,NA
"Investitionen in die Zukunft13","Investing in the future13",NA,NA
"Faire Regeln bei der internationalen Besteuerung14","Fair rules in international taxation14",NA,NA
"Bildung der Zukunft – Chancen für Aufstieg und Selbstbestimmung15","Education of the future - opportunities for advancement and self-determination15",NA,NA
"Berufliche Bildung19","Vocational education19",NA,NA
"Hochschule und Forschung21","Higher education and research21",NA,NA
"II.Nie war Modernisierung dringlicher: Modernisieren wir endlich unser Land!23","II.Modernization has never been more urgent: Let's finally modernize our country!23",NA,NA
"Unkomplizierter Staat23","Uncomplicated state23",NA,NA
"Innovation Nation24","Innovation Nation24",NA,NA
"Mobilität26","Mobility26",NA,NA
"Digitalisierung29","Digitization29",NA,NA
"Moderne Arbeitswelt32","Modern working world32",NA,NA
"Gesundheit35","Health35",NA,NA
"Pflege38","Care38",NA,NA
"Modernes Recht für starke Familien40","Modern law for strong families40",NA,NA
"Schutz der Privatsphäre43","Privacy protection43",NA,NA
"Handlungsfähiger Rechtsstaat45","A constitutional state capable of acting45",NA,NA
"Presse- und Meinungsfreiheit schützen48","Protecting freedom of the press and freedom of expression48",NA,NA
"Demokratie und Parlamentarismus49","Democracy and Parliamentarism49",NA,NA
"Tolerante und weltoffene Gesellschaft51","Tolerant and open-minded society51",NA,NA
"Kommunen, Sport und Ehrenamt stärken53","Strengthening communities, sports and volunteering53",NA,NA
"Kultur55","Culture55",NA,NA
"III.Nie waren die Chancen größer: Bewältigen wir die großen Herausforderungen unserer Zeit!58","III.Opportunities have never been greater: Let us meet the great challenges of our time!58",NA,NA
"Klima- und Umweltschutz durch Innovation58","Climate and environmental protection through innovation58",NA,NA
"Zukunftsfähige und starke Europäische Union62","Sustainable and strong European Union62",NA,NA
"Klare Regeln65","Clear rules65",NA,NA
"Grundsätze liberaler Außenpolitik67","Principles of Liberal Foreign Policy67",NA,NA
"Freiheit und Menschenrechte weltweit72","Freedom and human rights worldwide72",NA,NA
"Für eine Entwicklungspolitik der Chancen74","For a development policy of opportunities74",NA,NA
"Einwanderung und Flucht76","Immigration and flight76",NA,NA
"Für ein ganzheitliches Energiesystem79","For a holistic energy system79",NA,NA
"Land- und Forstwirtschaft, Angeln, Fischerei und Jagd81","Agriculture, forestry, fishing and hunting81",NA,NA
"Wohnen84","Housing84",NA,NA
"Liberales Bürgergeld86","Liberal Citizen's Income86",NA,NA
"Enkelfitte Rente87","Grandfather pension87",NA,NA
"Fairness für alle Generationen89","Fairness for all generations89",NA,NA
