"text","text_en","cmp_code","eu_code"
"Zeit zu handeln!","Time to act!",NA,NA
"Für soziale Sicherheit, Frieden und Klimagerechtigkeit","For social security, peace and climate justice",NA,NA
"Wahlprogramm zur Bundestagswahl 2021","Election program for the 2021 federal election",NA,NA
"Inhalt","Contents",NA,NA
"Einführung7","Introduction7",NA,NA
"Es kommt auf uns alle an.","It comes down to all of us.",NA,NA
"Es kommt auf dich an7","It depends on you7",NA,NA
"Wir lassen niemanden zurück7","We leave no one behind7",NA,NA
"Was uns bewegt7","What moves us7",NA,NA
"Eine neue Politik für alle, die sie längst verdient haben9","A new policy for all who have long deserved it9",NA,NA
"Mut zur Veränderung13","The courage to change13",NA,NA
"Gute Arbeit, gute Löhne – Demokratie gilt auch im Betrieb!15","Good work, good wages - democracy also applies in the workplace!15",NA,NA
"Löhne, die für ein gutes Leben reichen.","Wages that are enough for a good life.",NA,NA
"Schluss mit dem Niedriglohn16","Putting an end to low pay16",NA,NA
"Arbeitszeiten, die zum Leben passen17","Working hours that fit life17",NA,NA
"Gute Arbeitsbedingungen, weniger Belastungen18","Good working conditions, fewer burdens18",NA,NA
"Kein Umbau auf dem Rücken der Beschäftigten: Weiterbildungsanspruch für alle19","No restructuring on the backs of employees: Further training entitlement for all19",NA,NA
"Gleiche Rechte für Saisonbeschäftigte und Beschäftigte in Privathaushalten20","Equal rights for seasonal and private household workers20",NA,NA
"Union Busting stoppen, Gegenwehr stärken, Mitbestimmung ausweiten21","Stop Union Busting, Strengthen Resistance, Expand Co-determination21",NA,NA
"Gewerkschaften stärken21","Strengthening trade unions21",NA,NA
"Gute Rente, gutes Leben: Solidarische Erwerbstätigenversicherung22","Good pension, good life: Solidarity-based employment insurance22",NA,NA
"Soziale Sicherheit für alle25","Social security for all25",NA,NA
"Soziale Rechte: Eine gerechte Versicherung gegen Erwerbslosigkeit25","Social rights: A fair insurance against unemployment25",NA,NA
"Bedarfsdeckende und sanktionsfreie individuelle Mindestsicherung26","Means-tested and sanction-free individual minimum income26",NA,NA
"Sofortmaßnahmen: Erhöhung der Regelsätze und Abschaffung der Sanktionen27","Immediate measures: Increase of standard rates and abolition of sanctions27",NA,NA
"Kinderarmut überwinden: Kindergrundsicherung28","Overcoming child poverty: Child Basic Security28",NA,NA
"Familien dort unterstützen, wo sie es brauchen29","Supporting families where they need it29",NA,NA
"Selbstbestimmt im Alter30","Self-determined in old age30",NA,NA
"Pflegenotstand stoppen!","Stop the nursing crisis!",NA,NA
"Systemwechsel in Gesundheit und Pflege31","System change in health and care31",NA,NA
"Eine neue solidarische Gesundheitsversicherung!33","A new solidarity-based health insurance!33",NA,NA
"Eine solidarische Pflege-vollversicherung33","Solidarity-based comprehensive long-term care insurance33",NA,NA
"Pflegende Angehörige entlasten!","Relieve the burden on family caregivers!",NA,NA
"34","34",NA,NA
"Öffentlichen Gesundheitsdienst stärken!35","Strengthen the public health service!35",NA,NA
"Gesundheitliche Ungleichheit bekämpfen!","Fighting health disparities!",NA,NA
"36","36",NA,NA
"Ambulanter Bereich: Gute Versorgung vor Ort, in Stadt und Land37","Outpatient care: Good local, urban and rural care37",NA,NA
"Die Macht der Pharmaindustrie brechen!","Break the power of the pharmaceutical industry!",NA,NA
"Gesundheitsforschung demokratisieren!38","Democratize health research!38",NA,NA
"Keine Profite mit Miete und Boden: Zuhause für alle!39","No profits with rent and land: Home for all!39",NA,NA
"Mietenwahnsinn und Verdrängung stoppen.","Stop rent madness and displacement.",NA,NA
"Hohe Mieten senken und gemeinnützige Wohnungswirtschaft aufbauen.","Reduce high rents and build nonprofit housing.",NA,NA
"Spekulation mit Grund und Boden beenden39","End speculation with land39",NA,NA
"Mieten deckeln bundesweit!40","Cap rents nationwide!40",NA,NA
"Sozialen und gemeinnützigen Wohnungsbau schaffen!40","Create social and non-profit housing!40",NA,NA
"Wohnen ist keine Ware.","Housing is not a commodity.",NA,NA
"Rechte von Mieter*innen stärken!41","Strengthening tenants' rights!41",NA,NA
"Klimagerechtigkeit statt Verdrängung!42","Climate justice instead of displacement!42",NA,NA
"Spekulation stoppen – Gewinne abschöpfen!43","Stop speculation - skim off profits!43",NA,NA
"Immobilienkonzerne an die Kette legen!44","Put real estate companies on the chain!44",NA,NA
"Wohnen ist ein Grundrecht – Wohnungen zuerst!","Housing is a basic right - housing first!",NA,NA
"44","44",NA,NA
"Städte zukunftsfest machen – Leben in die Dörfer bringen!45","Making cities fit for the future - bringing life to villages!45",NA,NA
