"text","text_en","cmp_code","eu_code"
"ZUSAMMEN WACHSEN REGIERUNGSPROGRAMM 2025","GROWING TOGETHER GOVERNMENT PROGRAM 2025",NA,NA
"INHALTSVERZEICHNIS","TABLE OF CONTENTS",NA,NA
"Präambel","Preamble",NA,NA
"KAPITEL 1","CHAPTER 1",NA,NA
"In die Zukunft wachsen - ökologisch und ökonomisch 14","Growing into the future - ecologically and economically 14",NA,NA
"Eine starke Wirtschaft für sichere Jobs17","A strong economy for secure jobs17",NA,NA
"Für einen wettbewerbsfähigen Standort17","For a competitive location17",NA,NA
"Für mehr Arbeitskräfte und die gleichberechtigte Erwerbstätigkeit von Frauen 19 Für eine starke europäische Wirtschaft20","For more workers and equal employment opportunities for women 19 For a strong European economy20",NA,NA
"Für funktionierende und nachhaltige Finanzmärkte21","For functioning and sustainable financial markets21",NA,NA
"Für mehr Innovationskraft22","For more innovative strength22",NA,NA
"Für die klimaneutrale Modernisierung der Industrie24","For the climate-neutral modernization of industry24",NA,NA
"Für die Stärkung von Mittelstand und Handwerk26","For the strengthening of SMEs and skilled trades26",NA,NA
"Für Wirtschaftssicherheit und zukunftsfähigen Außenhandel28","For economic security and sustainable foreign trade28",NA,NA
"Für Rohstoffsicherheit und Kreislaufwirtschaft30","For raw material security and a circular economy30",NA,NA
"Für einen starken Verbraucherschutz31","For strong consumer protection31",NA,NA
"Ein modernes und digitales Land32","A modern and digital country32",NA,NA
"Für einen Staat, der für die Menschen funktioniert32","For a state that works for the people32",NA,NA
"Für eine serviceorientierte Verwaltung33","For a service-oriented administration33",NA,NA
"Für eine schnelle und umfassende Digitalisierung34","For rapid and comprehensive digitalization34",NA,NA
"Für einen Deutschlandfonds und eine Reform der Schuldenbremse36","For a Germany Fund and a reform of the debt brake36",NA,NA
"Ein Klima, in dem wir gut leben können37","A climate in which we can live well37",NA,NA
"Für ein stabiles und sicheres Klima37","For a stable and safe climate37",NA,NA
"Für sozial gerechten Klimaschutz39","For socially just climate protection39",NA,NA
"Für günstige, verlässliche und klimaneutrale Energie41","For affordable, reliable and climate-neutral energy41",NA,NA
"Für verlässliche und bezahlbare Wärme44","For reliable and affordable heat44",NA,NA
"Für vorsorgende Anpassungen an ein verändertes Klima45","For precautionary adaptation to a changing climate45",NA,NA
"Eine mobile Gesellschaft - Stadt und Land zusammen46","A mobile society - city and countryside together46",NA,NA
"Für nachhaltiges, sicheres und zügiges Fortkommen46","For sustainable, safe and rapid progress46",NA,NA
"Für eine verlässliche und bezahlbare Bahn49","For reliable and affordable rail49",NA,NA
"Für gleichwertige Lebensverhältnisse50","For equal living conditions50",NA,NA
"Eine Natur, die wir schützen51","A natural environment that we protect51",NA,NA
"Für eine intakte Natur51","For an intact natural environment51",NA,NA
"Für eine gesunde Umwelt53","For a healthy environment53",NA,NA
"Für sauberes Wasser und lebendige Meere55","For clean water and living seas55",NA,NA
"Eine zukunftsfeste Ernährung und Landwirtschaft57","Sustainable food and agriculture57",NA,NA
"Für starke Landwirtinnen und Landwirte57","For strong farmers57",NA,NA
"Für die natürlichen Grundlagen unserer Ernährung58","For the natural foundations of our food58",NA,NA
"Für gute Ernährung60","For good nutrition60",NA,NA
"Für einen besseren Umgang mit Tieren61","For better treatment of animals61",NA,NA
"KAPITEL 2","CHAPTER 2",NA,NA
"Einfach dabei sein - fair und bezahlbar64","Just be there - fair and affordable64",NA,NA
"Starke Teilhabe: gute Arbeit, bezahlbares Wohnen, faire Löhne67","Strong participation: good work, affordable housing, fair wages67",NA,NA
"Für gute Arbeit und faire Löhne67","For good work and fair wages67",NA,NA
"Für bezahlbares Wohnen69","For affordable housing69",NA,NA
"Für schnelles, günstiges und klimaverträgliches Bauen und Sanieren71","For fast, affordable and climate-friendly construction and renovation71",NA,NA
"Für ein gerechtes Steuersystem73","For a fair tax system73",NA,NA
"Eine gute Bildung für gute Chancen75","Good education for good opportunities75",NA,NA
"Für gute und verlässliche Kitas75","For good and reliable daycare centers75",NA,NA
"Für starke Schulen für alle Kinder76","For strong schools for all children76",NA,NA
"Für eine gute Berufsbildung, die allen offensteht78","For good vocational training that is open to all78",NA,NA
"Für eine starke Hochschul- und Wissenschaftslandschaft80","For a strong university and science landscape80",NA,NA
"Mitten im Leben - in jeder Lebensphase81","In the middle of life - at every stage of life81",NA,NA
"Für starke Familien81","For strong families81",NA,NA
"Für die Teilhabe der Jüngsten - gegen Kinderarmut83","For the participation of the youngest - against child poverty83",NA,NA
"Für einen guten Start der jungen Generation84","For a good start for the young generation84",NA,NA
"Für ein aktives und selbstbestimmtes Leben im Alter86","For an active and self-determined life in old age86",NA,NA
"In jeder Lebensphase abgesichert87","Secure in every phase of life87",NA,NA
"Für eine gute Gesundheitsversorgung überall87","For good healthcare everywhere87",NA,NA
"Für eine verlässliche und würdige Pflege91","For reliable and dignified care91",NA,NA
"Für eine solidarische Kranken- und Pflegeversicherung93","For solidarity-based health and long-term care insurance93",NA,NA
"Für eine vorausschauende Gesundheitspolitik94","For a forward-looking healthcare policy94",NA,NA
"Für eine zukunftsfeste und würdige Rente97","For a future-proof and dignified pension97",NA,NA
"Für verlässliche soziale Sicherung99","For reliable social security99",NA,NA
"KAPITEL 3","CHAPTER 3",NA,NA
"Frieden in Freiheit sichern - innen und außen","Securing peace in freedom - internally and externally",NA,NA
"Eine lebendige Demokratie105","A vibrant democracy105",NA,NA
"Für demokratischen Zusammenhalt105","For democratic cohesion105",NA,NA
"Für eine Erinnerung, die uns wach hält106","For a memory that keeps us awake106",NA,NA
"Für handlungsfähige Kommunen108","For effective municipalities108",NA,NA
"Für eine starke demokratische Gesellschaft109","For a strong democratic society109",NA,NA
"Für die Unterstützung von freiwilligem Engagement111","For the support of voluntary engagement111",NA,NA
"Für Sport, der verbindet112","For sport that unites112",NA,NA
"Für eine handlungsfähige Justiz in unserem Rechtsstaat113","For an effective judiciary in our constitutional state113",NA,NA
"Für digitale Bürger*innenrechte114","For digital civil rights114",NA,NA
"Für eine vielfältige Gesellschaft ohne Diskriminierung115","For a diverse society without discrimination115",NA,NA
"Für Frauenrechte118","For women's rights118",NA,NA
"Für Selbstbestimmung120","For self-determination120",NA,NA
"Für queeres Leben: sicher und selbstbestimmt121","For queer life: safe and self-determined121",NA,NA
"Für gleichberechtigte Teilhabe von Menschen mit Behinderung und eine inklusive Gesellschaft122","For equal participation of people with disabilities and an inclusive society122",NA,NA
"Für lebendige Kunst und Kultur124","For vibrant art and culture124",NA,NA
"Für die Gestaltung der Einwanderungsgesellschaft126","For shaping the immigration society126",NA,NA
"Für ein Land, das Schutz bietet129","For a country that offers protection129",NA,NA
"Für eine europäische und internationale Flucht- und Migrationspolitik130","For a European and international refugee and migration policy130",NA,NA
"Ein Leben in Sicherheit133","A life in safety133",NA,NA
"Für gute Polizeiarbeit gegen Kriminalität133","For good police work against crime133",NA,NA
"Für einen verstärkten Einsatz gegen Organisierte Kriminalität134","For increased action against organized crime134",NA,NA
"Für eine klare Kante gegen Geldwäsche und organisierten Steuerbetrug135","For a clear stance against money laundering and organized tax fraud135",NA,NA
"Für ein entschiedenes Vorgehen gegen Extremismus und Terror136","For decisive action against extremism and terror136",NA,NA
"Für einen krisenfesten Bevölkerungsschutz138","For crisis-proof civil protection138",NA,NA
"Für die Verbindung von innerer und äußerer Sicherheit139","For the combination of internal and external security139",NA,NA
"Für IT-Sicherheit und gegen systematische Desinformation140","For IT security and against systematic disinformation140",NA,NA
"Für die Verteidigung von Frieden und Freiheit141","For the defense of peace and freedom141",NA,NA
"Eine starke Europäische Union142","A strong European Union142",NA,NA
"Für eine EU, die unsere Demokratie verteidigt142","For an EU that defends our democracy142",NA,NA
"Für eine handlungsfähige EU143","For an EU capable of action143",NA,NA
"Außen-, Sicherheits- und Entwicklungspolitik in Verantwortung145","A responsible foreign, security and development policy145",NA,NA
"Für eine aktive Außenpolitik145","For an active foreign policy145",NA,NA
"Für einen zukunftsfesten Multilateralismus149","For a future-proof multilateralism149",NA,NA
"Für Menschenrechte und demokratische Entwicklung150","For human rights and democratic development150",NA,NA
"Für die Sicherheit und Frieden in Europa und der Welt152","For security and peace in Europe and the world152",NA,NA
"Für eine moderne, verteidigungsfähige Bundeswehr153","For a modern, defensible Bundeswehr153",NA,NA
"Für globalen Klimaschutz155","For global climate protection155",NA,NA
"Für starke Partnerschaften und internationale Gerechtigkeit156","For strong partnerships and international justice156",NA,NA
"Präambel","Preamble","H",NA
"Bei den Bundestagswahlen am 23. Februar stehen Sie, liebe Bürgerinnen und Bürger, vor einer wichtigen Entscheidung.","In the Bundestag elections on February 23, you, dear citizens, will be faced with an important decision.","000",NA
"Es geht darum, wer für unser Land in dieser herausfordernden Zeit Regierungsverantwortung trägt.","It is a question of who will bear government responsibility for our country in these challenging times.","000",NA
"Jetzt kommt es auf die Kraft unseres Zusammenlebens an, in dem die Menschen auch in diesen herausfordernden Zeiten so viel einbringen und leisten.","What matters now is the strength of our coexistence, in which people contribute and achieve so much even in these challenging times.","606.1",NA
"Wir nehmen diese Kraft als Auftrag an die Politik, unser Land für alle Menschen in den kommenden Jahren besser, gerechter und einfacher zu machen.","We take this strength as a mandate to politicians to make our country better, fairer and simpler for everyone in the coming years.","503",NA
"Als Auftrag, dass es hier einfach funktioniert","As a mandate to ensure that things simply work here","303",NA
"und der Alltag bezahlbar ist.","and that everyday life is affordable.","503",NA
"Als Auftrag, unsere Verantwortung in einer kommenden Regierung wahrzunehmen.","As a mandate to assume our responsibility in the next government.","305.1",NA
"Deutschland hat viele große Stärken.","Germany has many great strengths.","601.1",NA
"Mit der Kraft von Ihnen, den Bürgerinnen und Bürgern, die den Laden jeden Tag trotz der großen Herausforderungen am Laufen halten.","With the strength of you, the citizens, who keep the store running every day despite the major challenges.","606.1",NA
"Auf der Arbeit.","At work.","701",NA
"In der Familie.","In the family.","603",NA
"Im Ehrenamt.","In voluntary work.","606.1",NA
"Mit viel Engagement und Einsatz.","With a great deal of commitment and dedication.","606.1",NA
"Mit einem starken Sozialstaat","With a strong welfare state","504",NA
"und erfolgreichen Unternehmen nicht zuletzt im Mittelstand.","and successful companies, not least in the SME sector.","402",NA
"Mit Anstrengung und Innovation,","With effort and innovation,","411",NA
"Vielfalt","diversity","503",NA
"und Solidarität.","and solidarity.","606.1",NA
"Es ist auch die Kraft unseres Landes als Einwanderungsland.","It is also the strength of our country as a country of immigration.","602.2",NA
"Viele Menschen tragen hier seit vielen Generationen zu unserem gemeinsamen Wohlstand bei,","Many people have been contributing to our shared prosperity here for many generations, making","410",NA
"bringen sich ein","a contribution","606.1",NA
"und gestalten unser Zusammenleben mit.","and helping to shape our life together.","606.1",NA
"Es geht jetzt darum, diese Kraft als Zukunftskraft aufzunehmen: ökologisch und ökonomisch,","It is now a matter of embracing this strength as a force for the future: ecologically and economically,","416.2",NA
