"text","text_en","cmp_code","eu_code"
"BÜNDNIS 90/DIE GRÜNEN","ALLIANCE 90/THE GREENS",NA,NA
"Grün ist der Wechsel","Green is the change",NA,NA
"Programm zur Bundestagswahl 1998","Program for the 1998 federal election",NA,NA
"Inhalt","Content",NA,NA
"Umwelt- und Naturschutz -","Environmental and nature protection -",NA,NA
"Basis der ökologischen Wirtschaft 7","Basis of the ecological economy 7",NA,NA
"Nachhaltig wirtschaften.","Sustainable management.",NA,NA
"Wege aus der Witschafts- und Finanzkrise 19","Ways out of the economic and financial crisis 19",NA,NA
"Solidarität neu bergründen.","Re-establishing solidarity.",NA,NA
"Für eine gerechte zukunftsfähige Gesellschaft 33","For a just society fit for the future 33",NA,NA
"Frauenpolitik","Women's policy",NA,NA
"für eine emanzipierte Gesellschaft 42","for an emancipated society 42",NA,NA
"Zukunft gestalten","Shape the future",NA,NA
"durch Bildung und Wissenschaft 47","through education and science 47",NA,NA
"Bürgerrechte, Demokratie und öffentliche Sicherheit 52","Civil Rights, Democracy and Public Safety 52",NA,NA
"Außenpolitischer Aufbruch ins 21. Jahrhundert 62","Foreign Policy Dawning of the 21st Century 62",NA,NA
"HerausgeberIn:","Editor:",NA,NA
"BÜNDNIS 90/DIE GRÜNEN Bundesgeschäftsstelle Referat Öffentlichkeitsarbeit, Norbert Franck","Alliance 90/The Greens National Office Public Relations Department, Norbert Franck",NA,NA
"Baunscheidtstr. 1a, 53113 Bonn","Baunscheidtstr. 1a, 53113 Bonn, Germany",NA,NA
"Tel: 0228 - 91 66 0","Tel: 0228 - 91 66 0",NA,NA
"Fax: 0228 - 91 66 199","Fax: 0228 - 91 66 199",NA,NA
"EMail: info@gruene.de","EMail: info@gruene.de",NA,NA
"Internet: www.gruene.de","Internet: www.gruene.de",NA,NA
"Präambel","Preamble",NA,NA
"Grün ist der Wechsel!","Green is the change!",NA,NA
"Es ist Zeit für einen Wechsel","It's time for a change","000",NA
"Die Bundesrepublik braucht eine neue, eine soziale und ökologische Politik","Germany needs a new, social and ecological policy","303",NA
"Die Herausforderungen eines neuen Jahrhunderts sind nicht mit den Konzepten von gestern und vorgestern zu bewältigen","The challenges of a new century cannot be mastered with the concepts of yesterday and the day before yesterday","303",NA
"Politik kann nicht alle Probleme lösen","Politics cannot solve all problems","000",NA
"Aber Politik muß ihren Teil zur Lösung der Probleme beitragen","But politics must play its part in solving the problems","000",NA
"Dafür ist die Bundestagswahl 1998 eine entscheidende Wahl","The 1998 Bundestag election is a decisive election in this respect","000",NA
"Sie können wählen zwischen dem Mut zur Wirklichkeit und dem Aussitzen der Probleme","You can choose between having the courage to face reality and sitting out the problems","305",NA
"Sie haben die Wahl zwischen dem Erhalt unserer natürlichen Lebensgrundlagen und dem Wachstum der Klimakatastrophe,","You have the choice between preserving our natural resources and the growth of the climate catastrophe,","416",NA
"zwischen Solidarität und Ausgrenzung","Between solidarity and exclusion","606",NA
"Es geht darum, wie die Zukunft gestaltet werden soll","It's about how the future should be shaped","305",NA
"BÜNDNIS 90/DIE GRÜNEN stehen für Nachhaltigkeit,","Alliance 90/The Greens stand for sustainability,","416",NA
"soziale Gerechtigkeit,","social justice,","503",NA
"Demokratie","Democracy","202",NA
"und Gleichberechtigung der Frauen","and equal rights for women","503",NA
"Wir wollen die Bundesrepublik ökologisch modernisieren","We want to modernize the Federal Republic ecologically","416",NA
"Wir wollen die Erwerbslosigkeit aktiv bekämpfen","We want to actively combat unemployment","701",NA
"Wir wollen den Sozialstaat durch Erneuerung sichern","We want to secure the welfare state through renewal","504",NA
"Wir wollen die Demokratie ausbauen","We want to expand democracy","202",NA
"Wir wollen eine Politik, die auch den Ländern im Süden und Osten gleichberechtigte Entwicklungschancen eröffnet","We want a policy that also opens up equal development opportunities for countries in the South and East","606",NA
"Die Zukunft verlangt den Wechsel","The future demands change",NA,NA
"An den Schlüsselfragen der Zukunft ist das konservative Politikmodell gescheitert","The conservative political model has failed on the key issues of the future","305",NA
"Die Regierung Kohl hat kein Problem gelöst, aber alle verschärft und das Land in eine Sackgasse geführt","The Kohl government did not solve any problems, but exacerbated all of them and led the country into a dead end","305",NA
"Sie hatte die Schwierigkeiten der alten Bundesrepublik vor ’89 nicht bewältigt","It had not overcome the difficulties of the old Federal Republic before '89","305",NA
"Sie hat den neuen Bundesländern keine blühenden Landschaften gebracht","It has not brought prosperous landscapes to the new federal states","305",NA
"Sie hat die Chancen zur Neugestaltung im vereinten Deutschland verspielt und ihre Versprechen gebrochen","It has squandered the opportunities to reshape a united Germany and broken its promises","305",NA
"Die Bilanz der CDU-geführten Regierung lautet: Rekordarbeitslosigkeit, Rekordstaatsverschuldung, Rekordpleitewelle, Rekordverarmung, Rekordbereicherung","The record of the CDU-led government is: record unemployment, record national debt, record bankruptcy, record impoverishment, record enrichment","305",NA
"Soziale Unsicherheit ist allgemein geworden","Social insecurity has become generalized","503",NA
"Noch nie gab es so viele Menschen, die auf Sozialhilfe angewiesen sind","Never before have so many people been dependent on social welfare","701",NA
"Jugendlichen fehlen die Ausbildungsplätze, StudentInnen die Lehrbücher und Lehrangebote","Young people lack training places, students lack textbooks and courses","506",NA
"Die Kluft zwischen Arm und Reich wächst","The gap between rich and poor is growing","503",NA
"Die öffentlichen Haushalte sind kaputtgespart","Public budgets have been cut to the bone","408",NA
"Die privaten Vermögen Weniger florieren","The private fortunes of a few are flourishing","503",NA
"Die Steuerpolitik fördert die Umverteilung zugunsten der Unternehmen und Vermögenden, die NormalverdienerInnen belastet sie um so mehr","Tax policy promotes redistribution in favor of companies and the wealthy, while placing an even greater burden on ordinary earners","503",NA
"Die Globalisierung mußte als standortgefährdendes Schreckgespenst für die Einschnitte ins soziale Netz herhalten","Globalization had to be used as a spectre threatening the location for the cuts in the social safety net","504",NA
"Tatsächlich hat die Bundesrepublik von der Globalisierung profitiert","Germany has indeed benefited from globalization","410",NA
"Sie wurde Exportvizeweltmeister","She became export vice world champion","410",NA
"Der Preis dafür ist hoch","The price is high","416",NA
"Wachstum und Beschäftigung sind entkoppelt","Growth and employment are decoupled","701",NA
"Arbeit wurde verteuert","Labor has become more expensive","701",NA
"Weltmarktfähige Zukunftsbranchen wie die Solarindustrie wurden ins Ausland vertrieben","Future-oriented global market sectors such as the solar industry were driven abroad","406",NA
"Deutschland belastet die Erdatmosphäre durch klimaschädliche Emissionen","Germany pollutes the Earth's atmosphere with climate-damaging emissions","501",NA
"Die Bundesregierung fördert den Auto- und Flugverkehr durch hohe Subventionen","The German government promotes car and air traffic through high subsidies","501",NA
"Sie betreibt, gegen den Willen der Mehrheit der Bevölkerung, weiter Atomkraftwerke und produziert Atommüll","It continues to operate nuclear power plants and produce nuclear waste against the will of the majority of the population","416",NA
"Obwohl der Kalte Krieg vorbei ist, hat sie die Bundeswehr nicht ab-, sondern teuer umgerüstet","Although the Cold War is over, the Bundeswehr has not been disarmed, but rather expensively re-equipped","105",NA
"Der Krieg in Bosnien und das Versagen Europas dort wurden genutzt, um die Einsatzmöglichkeiten der Bundeswehr zu entgrenzen","The war in Bosnia and Europe's failure there were used to limit the Bundeswehr's operational options","105",NA
"Die Regierung behindert ihr eigenes Ziel der Europäischen Einigung","The government is hindering its own goal of European unification","203","108"
"und blockiert eine europäische Beschäftigungspolitik","and blocks a European employment policy","701","108"
"CDU/CSU und FDP sind dabei, die Bundesrepublik auf einen Standort Deutschland herunterzuwirtschaften","The CDU/CSU and FDP are in the process of reducing the Federal Republic of Germany to a single location","408","108"
