"text","text_en","cmp_code","eu_code"
"Alle wollen regieren.","Everyone wants to govern.","H",NA
"Wir wollen verändern.","We want to change.","H",NA
"Reichtum teilen.","Share the wealth.","H",NA
"Preise senken.","Lower prices.","H",NA
"Füreinander.","For each other.","H",NA
"Liebe Wähler*innen,","Dear voters,",NA,NA
"wir sind verschieden, aber die meisten von uns wollen das Gleiche: eine Gesellschaft, in der man sich gegenseitig zuhört und unterstützt, in der alle gesehen und gehört werden.","We are different, but most of us want the same thing: a society in which people listen to and support each other, in which everyone is seen and heard.",NA,NA
"Ein planbares Leben mit einer sicheren Zukunft, die Platz lässt für eigene Ziele und Entscheidungen.","A predictable life with a secure future that leaves room for personal goals and decisions.",NA,NA
"Eine Politik, die Verantwortung übernimmt, an der Seite der Menschen steht und sich um ihre Probleme kümmert.","A policy that takes responsibility, stands by people and takes care of their problems.",NA,NA
"Wir, Die Linke, kämpfen dafür, wir sind überzeugt: Es ist möglich.","We, Die Linke, are fighting for this, we are convinced: it is possible.",NA,NA
"Ein Leben, in dem alle ein sicheres Einkommen haben, die Mieten bezahlbar sind und nicht jeder Supermarkteinkauf zum Schock an der Kasse führt, ist möglich.","A life in which everyone has a secure income, rents are affordable and not every supermarket purchase leads to a shock at the checkout is possible.",NA,NA
"Ein Leben, in dem Konflikte friedlich gelöst werden, ist möglich.","A life in which conflicts are resolved peacefully is possible.",NA,NA
"Ein Leben mit wirksamer Klimapolitik, die nicht vor allem Menschen mit niedrigen und mittleren Einkommen belastet, ist möglich.","A life with effective climate policies that do not burden people with low and middle incomes in particular is possible.",NA,NA
"Ein Leben, in dem jeder Mensch die gleichen Rechte hat, ist möglich.","A life in which everyone has the same rights is possible.",NA,NA
"Ein Leben, das nicht die Lebensgrundlagen kommender Generationen zerstört, ist möglich.","A life that does not destroy the livelihoods of future generations is possible.",NA,NA
"Doch dafür muss sich vieles grundlegend ändern.","But a lot has to change fundamentally for this to happen.",NA,NA
"In den letzten Jahren sind die Reichen und Mächtigen unfassbar viel reicher und mächtiger geworden.","In recent years, the rich and powerful have become incredibly richer and more powerful.",NA,NA
