"text","text_en","cmp_code","eu_code"
"Grün wirkt!","Green works!",NA,NA
"Unser Wahlprogramm","Our election program",NA,NA
"2002 – 2006","2002 - 2006",NA,NA
"Präambel","Preamble",NA,NA
"BÜNDNIS 90/DIE GRÜNEN sind die Partei der ökologischen Modernisierung,","BÜNDNIS 90/DIE GRÜNEN are the party of ecological modernization,","416",NA
"der sozialen und wirtschaftlichen Erneuerung","social and economic renewal","503",NA
"und der gesellschaftlichen Demokratisierung.","and social democratization.","202",NA
"Wir stehen für eine aktive und präventive Friedenspolitik, die die internationalen Zusammenhänge beachtet.","We stand for an active and preventive peace policy that takes into account the international context.","106",NA
"Wir sind die Partei der europäischen Demokratie.","We are the party of European democracy.","202",NA
"Wir wollen die Globalisierung sozial gerecht und umweltverträglich gestalten.","We want to make globalization socially just and environmentally compatible.","403",NA
"Wir haben seit unserer Gründung viel Bewegung in unser Land gebracht.","We have brought a lot of movement to our country since our founding.","305",NA
"Wir haben ökologische Verantwortung","We have ecological responsibility","501",NA
"und den Gedanken der Nachhaltigkeit in der Gesellschaft verankert.","and anchored the idea of sustainability in society.","416",NA
"Unsere Gesellschaft ist weltoffener,","Our society is more open to the world,","602",NA
"unsere Demokratie ist lebendiger","our democracy is more vibrant","202",NA
"und Bürgerrechte sind gestärkt worden.","and civil rights have been strengthened.","201",NA
"Die Gleichstellung zwischen Frauen und Männern hat durch uns deutliche Fortschritte erlebt.","Equality between women and men has seen significant progress because of us.","503",NA
"Mit der Regierungsbeteiligung 1998 haben wir Verantwortung übernommen","We assumed responsibility when we joined the government in 1998","305",NA
"und konnten den Reformstau der Regierung Kohl in vielen Punkten auflösen:","and were able to clear the reform backlog of the Kohl government in many areas:","305",NA
"Atomausstieg,","Nuclear phase-out,","501",NA
"Energiewende und","Energy transition and","501",NA
"Klimaschutz,","Climate protection,","501",NA
"Einstieg in die Neue Landwirtschaft,","Entry into the New Agriculture,","703",NA
"Stärkung der Verbraucherrechte,","Strengthening consumer rights,","403",NA
"das neue Staatsbürgerschaftsrecht,","the new citizenship law,","202",NA
"das Gesetz zur Teilzeitarbeit,","the law on part-time work,","701",NA
"das Gleichstellungsgesetz für Menschen mit Behinderungen,","the Equal Opportunities Act for people with disabilities,","503",NA
"die internationale Stärkung der Menschenrechte,","the international strengthening of human rights,","201",NA
"das Gewaltschutzgesetz,","the Protection against Violence Act,","605",NA
"die eingetragenen Partnerschaften für Schwule und Lesben,","registered partnerships for gays and lesbians,","705",NA
"Haushaltskonsolidierung,","Budget consolidation,","414",NA
"Kindergelderhöhung","Child benefit increase","504",NA
"und Rentenreform.","and pension reform.","303",NA
"BÜNDNIS 90/ DIE GRÜNEN waren der Reformmotor der letzten vier Jahre.","BÜNDNIS 90/ DIE GRÜNEN have been the reform engine of the last four years.","305",NA
"Wir verbinden Ökologie,","We combine ecology,","501",NA
"Selbstbestimmung,","self-determination,","201",NA
"erweiterte Gerechtigkeit","expanded justice","503",NA
"und lebendige Demokratie.","and living democracy.","202",NA
"Mit gleicher Intensität treten wir ein für Gewaltfreiheit","We advocate non-violence with the same intensity","106",NA
"und Menschenrechte.","and human rights.","201",NA
"In ihrer Wechselbeziehung bilden diese Grundwerte den Kern des bündnisgrünen Politikverständnisses.","In their interrelation, these basic values form the core of the Alliance Green understanding of politics.","305",NA
"Der Wert der Ökologie verpflichtet uns zur nachhaltigen Bewahrung der natürlichen Lebensgrundlagen.","The value of ecology obliges us to sustainably preserve the natural foundations of life.","501",NA
"Wir arbeiten für eine Gesellschaft, in der die Menschen eine konkrete Chance haben, ihr Leben selbst zu gestalten – in Selbstbestimmung, frei von Bevormundung.","We work for a society in which people have a concrete chance to shape their own lives - in self-determination, free from paternalism.","201",NA
