"text","text_en","cmp_code","eu_code"
"Programm der PDS zur Bundestagswahl 1998","Program of the PDS for the 1998 Bundestag Election",NA,NA
"Für den politischen Richtungswechsel","For the change of political direction",NA,NA
"Sozial und solidarisch - für eine gerechte Republik","Social and solidarity - for a just republic",NA,NA
"Die Zeit ist reif","The time is ripe","000",NA
"In den vergangenen anderthalb Jahrzehnten haben sich die Probleme der Bundesrepublik zunehmend verschärft","Over the past decade and a half, Germany's problems have become increasingly acute","000",NA
"Mehr als sieben Millionen Arbeitslose, Zehntausende fehlende Ausbildungsplätze, Millionen Menschen in ungesicherten Arbeitsverhältnissen, schwer angeschlagene Renten- und Krankenversicherungen, desolate öffentliche Haushalte, eine tiefe Kluft zwischen Ost- und Westdeutschland, zwischen Menschen mit deutschem Paß und ohne ihn - das ist die Bilanz der Regierung Kohl","More than seven million unemployed, tens of thousands of missing apprenticeships, millions of people in insecure employment, severely damaged pension and health insurance schemes, desolate public budgets, a deep divide between East and West Germany, between people with and without a German passport - this is the result of the Kohl government","305",NA
"Die gesellschaftliche Realität hat sich weit vom Anspruch des Grundgesetzes entfernt","Social reality has moved far away from the demands of the Basic Law","203",NA
"Die Chance zur umfassenden gesellschaftlichen Erneuerung in Ost und West, die der Umbruch der Jahre 1989/90 eröffnet hatte, wurde wissentlich verspielt","The opportunity for comprehensive social renewal in East and West, which the upheaval of 1989/90 had opened up, was knowingly squandered","305",NA
"Weder eine höhere Macht noch der Beitritt der DDR zur BRD haben zu dieser Misere geführt, sondern die neoliberale Politik von CDU/CSU und FDP","Neither a higher power nor the accession of the GDR to the FRG led to this misery, but the neoliberal policies of the CDU/CSU and FDP","305",NA
"Ihre Regierungsmacht muß beendet werden","Their government power must be ended","305",NA
"Eine lebenswerte Zukunft braucht eine soziale, ökologische, ökonomische und geistige Erneuerung der Gesellschaft","A future worth living needs a social, ecological, economic and spiritual renewal of society","606",NA
"Dafür tritt die PDS an","This is what the PDS stands for","606",NA
"Sie will einen grundsätzlichen Politikwechsel, nicht nur eine andere Regierung","It wants a fundamental policy change, not just a different government","305",NA
"Sie ist konsequente Opposition gegen den herrschenden Neoliberalismus","It is consistent opposition to the prevailing neoliberalism","415",NA
"Die PDS setzt der konservativen Politik parlamentarisch und außerparlamentarisch Widerstand entgegen und engagiert sich für Alternativen","The PDS opposes conservative politics in parliament and outside parliament and is committed to alternatives","304",NA
"Die PDS ist die sozialistische Partei der Bundesrepublik","The PDS is the socialist party of the Federal Republic of Germany","415",NA
"Sie nimmt in den sozialen und politischen Auseinandersetzungen radikaldemokratische und antikapitalistische Positionen ein","It adopts radical democratic and anti-capitalist positions in social and political disputes","415",NA
"Die Vorherrschaft von Kapital und Profitorientierung in der Gesellschaft betrachtet die PDS als die entscheidende Ursache der gesellschaftlichen und globalen Krisen","The PDS regards the dominance of capital and profit orientation in society as the decisive cause of the social and global crises","415",NA
"Menschliches Überleben, eine soziale, ökologische und kulturelle Perspektive verlangen gebieterisch weitreichenden gesellschaftlichen Wandel","Human survival, a social, ecological and cultural perspective imperatively demand far-reaching social change","415",NA
"Die Kapitaldominanz über die gesellschaftliche Entwicklung zurückzudrängen ist dafür unerläßlich","It is essential to push back the dominance of capital over social development","415",NA
"Unser Ziel bleibt der demokratische Sozialismus - eine Gesellschaft, in der die freie Entwicklung des Einzelnen zur Bedingung der freien Entwicklung aller geworden ist","Our goal remains democratic socialism - a society in which the free development of the individual has become the condition for the free development of all","415",NA
"Durch die Politik der Kohl-Regierung sind absurde Verhältnisse entstanden:","The policies of the Kohl government have created absurd conditions:","305",NA
"Steigende Arbeitsproduktivität mehrt in der heutigen Gesellschaft in bisher ungeahnter Dimension den Reichtum","Rising labor productivity is increasing wealth in today's society to an unprecedented extent","415",NA
"Zugleich nehmen Armut, Ungerechtigkeit, Massenarbeitslosigkeit und Ausgrenzung zu","At the same time, poverty, injustice, mass unemployment and exclusion are on the rise","503",NA
"Die soziale Lage verschärft sich bedrohlich","The social situation is worsening alarmingly","503",NA
"Doch die Regierenden setzen weiter auf Privatisierung und Deregulierung,","But those in power continue to focus on privatization and deregulation,","413",NA
"auf das entfesselte Wirken des Marktes, wo soziale Kälte und ökologische Blindheit herrschen,","to the unleashed workings of the market, where social coldness and ecological blindness prevail,","413",NA
"und betreiben Demokratieabbau","and dismantle democracy","202",NA
"Eine Änderung dieser Verhältnisse erfordert demokratische Gestaltungskraft und eine einflußreiche gesellschaftliche Widerstands- und Reformbewegung","A change in these conditions requires democratic creative power and an influential social resistance and reform movement","202",NA
"Überall in der Gesellschaft wird rationalisiert","Rationalization is taking place everywhere in society","000",NA
"Doch die Gesellschaft als Ganzes wird immer irrationaler","But society as a whole is becoming increasingly irrational","000",NA
"Diese Art von Rationalität und Effektivität geht auf Kosten der Bürgerinnen und Bürger","This kind of rationality and effectiveness comes at the expense of citizens","000",NA
"Die Regierungsparteien beschwören angesichts der gewaltigen ungelösten Probleme die Dringlichkeit von Reformen","In view of the huge unresolved problems, the governing parties are calling for urgent reforms","305",NA
"Aber sie meinen die Rücknahme der einst mühsam erkämpften sozialen und demokratischen Kompromisse","But they mean the reversal of the once hard-won social and democratic compromises","305",NA
"Sie verkehren die Reformidee in ihr Gegenteil","They turn the idea of reform into its opposite","305",NA
"Dieses Land braucht Alternativen, die diese Bezeichnung wirklich verdienen","This country needs alternatives that really deserve the name","305",NA
"Dafür braucht die Bundesrepublik die PDS im Bundestag","This is why Germany needs the PDS in the Bundestag","305",NA
"Ohne gesellschaftliche Gegenwehr, ohne Druck von links werden SPD und Bündnisgrüne der Versuchung der Anpassung nicht widerstehen","Without social resistance, without pressure from the left, the SPD and the Greens will not resist the temptation to conform","305",NA
"Es gibt im Deutschen Bundestag keine andere Partei, die der Regierung so entschieden entgegentritt und für eine demokratische","There is no other party in the German Bundestag that opposes the government so resolutely and stands up for a democratic","202",NA
"und sozial gerechte Republik streitet","and socially just republic","503",NA
"Die PDS ist die Partei, die seit Jahren mit Konsequenz und Kompetenz ostdeutsche Interessen vertritt und dadurch auch andere Parteien dazu drängt","The PDS is the party that has been representing East German interests with consistency and competence for years, thereby also pushing other parties to do so","503",NA
"Jede Benachteiligung Ostdeutscher, die im Bundestag thematisiert wurde, ist von der PDS zur Sprache gebracht worden","Every disadvantage faced by East Germans that has been discussed in the Bundestag has been raised by the PDS","503",NA
"Gelegentlich folgten andere, zum Beispiel die SPD gegen das Rentenstrafrecht, das sie zunächst mit verabschiedet hatte","Occasionally others followed suit, for example the SPD against the criminal law on pensions, which it had initially helped to pass","503",NA
"Im Konfliktfall ist hinsichtlich ostdeutscher Interessen nur auf die PDS Verlaß","In the event of conflict, only the PDS can be relied upon with regard to East German interests","503",NA
"Ohne PDS kommt Ostdeutschland als politischer Akteur im Bundestag nicht mehr vor","Without the PDS, East Germany will no longer be a political player in the Bundestag","503",NA
"Die gesellschaftliche Krise in Deutschland ist eng verbunden mit der anhaltenden politischen, ökonomischen und sozialen Spaltung des Landes","The social crisis in Germany is closely linked to the country's ongoing political, economic and social division","606",NA
"Krise kommt aus dem Griechischen und heißt Wende","Crisis comes from the Greek and means turning point","305",NA
"Insofern liegt eine Erklärung für unsere Kompetenz auf der Hand: Die immer noch stark ostdeutsch dominierte PDS ist die einzige Partei Deutschlands mit aktuell durchlebter und gereifter Wendeerfahrung","In this respect, one explanation for our competence is obvious: the PDS, which is still heavily dominated by East Germany, is the only party in Germany with recent and mature experience of reunification","305",NA
"Ihre Anhänger können aus eigenem Erleben die Vor- und Nachteile zweier Gesellschaftssysteme vergleichen und wollen die Forderungen des demokratischen Umbruchs 1989/90 erneuern","Their supporters can compare the advantages and disadvantages of two social systems from their own experience and want to renew the demands of the democratic upheaval of 1989/90","202",NA
"Das befähigt sie, die Erfahrungen des Scheiterns produktiv zu machen und künftiges Scheitern verhindern zu helfen","This enables them to make the experience of failure productive and help prevent future failure","305",NA
"Viele Probleme in Ostdeutschland sind nur die zugespitzten Schwierigkeiten des ganzen Landes","Many of the problems in East Germany are just the exacerbated difficulties of the country as a whole","606",NA
"Das muß als Herausforderung für die Gesellschaft insgesamt begriffen werden","This must be seen as a challenge for society as a whole","606",NA
"Eine selbstbewußte Vertretung ostdeutscher Interessen ist notwendig für den Bestand der Demokratie","A self-confident representation of East German interests is necessary for the existence of democracy","202",NA
"Ohne Aufbruch im Osten kein Aufbruch im Westen","No awakening in the West without an awakening in the East","606",NA
"Die PDS ist - an ihrem praktischen kommunalen Wirken in den neuen Bundesländern nachprüfbar - in besonderem Maße eine Partei sozialer Gerechtigkeit","The PDS is - verifiable by its practical communal work in the new federal states - to a special degree a party of social justice","503",NA
"und gesellschaftlicher Solidarität","and social solidarity","606",NA
"Sie zu wählen heißt, einen Politikwechsel zu wählen und sich konsequent gegen eine Regierung zu entscheiden, die versucht, den Staatshaushalt auf Kosten Kranker, Schwacher und Alter zu konsolidieren, gegen eine Regierung, die die Vermögenssteuer abschafft und gleichzeitig die Sozialhilfe kürzt, die den Spitzensteuersatz senken will und die Krankenkassenbeiträge erhöht, die gesellschaftlichen Reichtum zum Vorteil der großen Unternehmen und Spitzenverdiener umverteilt","Voting for them means voting for a change of policy and consistently deciding against a government that is trying to consolidate the state budget at the expense of the sick, the weak and the elderly, against a government that is abolishing wealth tax while cutting social welfare, that wants to reduce the top tax rate and increase health insurance contributions, that redistributes social wealth to the benefit of large companies and top earners","503",NA
"Die alternativen Ziele der Partei des Demokratischen Sozialismus sind: - Wir wollen uns nicht mit dem herrschenden Marktradikalismus abfinden,","The alternative goals of the Party of Democratic Socialism are: - We do not want to resign ourselves to the prevailing market radicalism,","415",NA
"wir wollen, daß Wirtschaft und Gesellschaft demokratisch gestaltet werden","we want the economy and society to be shaped democratically","202",NA
"- Wir wollen eine neue Art der Vollbeschäftigung, existenzsichernd für alle, zukunftsorientiert, ökologisch verantwortungsbewußt","- We want a new kind of full employment, a living wage for all, future-oriented and ecologically responsible","701",NA
"- Wir wollen soziale Gerechtigkeit und die Verteidigung und Neugestaltung solidarischer Sicherungssysteme,","- We want social justice and the defense and reorganization of solidarity-based security systems,","504",NA
"wir wollen eine soziale Grundsicherung für alle","We want basic social security for all","504",NA
"- Wir wollen Zukunftschancen und selbstbestimmte Mitsprache für die junge Generation,","- We want future opportunities and a self-determined say for the younger generation,","706",NA
"neue, zeitgemäße Bildung,","new, contemporary education,","506",NA
"moderne und offene Hochschulen","Modern and open universities","506",NA
"und das Verfassungsrecht auf Ausbildung","and the constitutional right to education","506",NA
"- Wir wollen, daß die ökologische Wende endlich eingeleitet wird","- We want the ecological turnaround to finally be initiated","416",NA
"- Wir wollen uns konsequent für die Überwindung der gesellschaftlichen Frauenfeindlichkeit und für die reale Gleichstellung von Frauen und Männern einsetzen","- We want to work consistently to overcome social misogyny and achieve real equality between women and men","503",NA
"- Wir wollen, daß Betroffene selbst über ihre Angelegenheiten entscheiden können und Demokratie umfassend erlebbar ist","- We want those affected to be able to decide on their own affairs and to experience democracy to the full","202",NA
"- Wir wollen gleiche Rechte für alle Menschen, die in der Bundesrepublik leben","- We want equal rights for all people living in the Federal Republic of Germany","201",NA
"Das Grundrecht auf Asyl muß wiederhergestellt","The fundamental right to asylum must be restored","201",NA
"und ein entschiedener Kampf gegen Rassismus, Nationalismus und Rechtsextremismus geführt werden","and a resolute fight against racism, nationalism and right-wing extremism must be waged","606",NA
"_ Wir wollen eine demokratische Europäische Union","We want a democratic European Union","202",NA
"und die zivile Gestaltung der internationalen Beziehungen","and the civil shaping of international relations","105",NA
"- Wir wollen diese Ziele bundesweit vertreten, in West wie Ost","- We want to represent these goals nationwide, in both East and West","305",NA
"Sie bestimmen auch unsere spezielle Verantwortung in Ostdeutschland, nicht als regionale, sondern als sozialistische Partei der Bundesrepublik","They also determine our special responsibility in East Germany, not as a regional, but as a socialist party of the Federal Republic of Germany","305",NA
"Wir haben die Chance. Nutzen wir sie","We have the chance. Let us use it",NA,NA
"Die PDS will weder eine neue noch eine “verträglichere” Variante bisheriger Bonner Politik","The PDS wants neither a new nor a ""more compatible"" version of Bonn's previous policy","000",NA
"Sie setzt sich für eine Gesellschaft ein, in der Schwache nicht länger schwach, Einzelne nicht länger allein, Fremde nicht länger fremd und Abhängige nicht länger wehrlos bleiben","It is committed to a society in which the weak are no longer weak, individuals are no longer alone, strangers are no longer strangers and addicts are no longer defenceless","606",NA
