"text","text_en","cmp_code","eu_code"
"Politikwechsel für Deutschland","Policy change for Germany",NA,NA
"Wahlprogramm von CDU und CSU","Election program of the CDU and CSU",NA,NA
"Inhalt","Contents",NA,NA
"- KURZFASSUNG -","- SHORT VERSION -",NA,NA
"Politikwechsel für Deutschland................................................................. 1","Policy change for Germany................................................................. 1",NA,NA
"- LANGFASSUNG -","- LONG VERSION -",NA,NA
"I. Für ein Deutschland, auf das wir wieder stolz sein können ......... 10","I. For a Germany we can be proud of again ......... 10",NA,NA
"II.","II.",NA,NA
"Unser Plan für ein Land, das wieder Wohlstand für alle schafft...11","Our plan for a country that once again creates prosperity for all...11",NA,NA
"Ja zu einer Agenda für die Fleißigen................................................ 11","Yes to an agenda for the hard-working................................................ 11",NA,NA
"Ja zu Freiräumen für die Wirtschaft ................................................","Yes to freedom for the economy ................................................",NA,NA
"13 Ja zu bezahlbarer, sicherer und sauberer Energie......................... 19 Ja zu marktwirtschaftlichem Klima- und Umweltschutz.............. 21 Ja zu Forschung, Innovationen und neuen Technologien ............ 24 Ja zu einem starken und gerechten Sozialstaat ............................. 29","13 Yes to affordable, safe and clean energy......................... 19 Yes to market-based climate and environmental protection.............. 21 Yes to research, innovation and new technologies ............ 24 Yes to a strong and fair welfare state ............................. 29",NA,NA
"Ja zu mehr Eigentum, Vermögensbildung und sicherer Altersvorsorge..................................................................................... 31 Ja zu einer Landwirtschaft mit Zukunft .......................................... 33","Yes to more property ownership, wealth creation and secure pensions..................................................................................... 31 Yes to agriculture with a future .......................................... 33",NA,NA
"III.","III.",NA,NA
"Unser Plan für ein Land, das frei und wieder sicher ist ................ 36","Our plan for a country that is free and safe again ................ 36",NA,NA
"Ja zu Recht und Ordnung .................................................................. 36 Ja zum Stopp der illegalen Migration............................................... 40 Ja zu einer wehrhaften Demokratie ................................................. 42 Ja zu unserer Verantwortung in der Welt........................................ 45 Ja zu einer voll verteidigungsfähigen Bundeswehr ....................... 48 Ja zu einem starken Europa .............................................................. 51","Yes to law and order .................................................................. 36 Yes to stopping illegal migration............................................... 40 Yes to a defensive democracy ................................................. 42 Yes to our responsibility in the world........................................ 45 Yes to a fully defensible Bundeswehr ....................... 48 Yes to a strong Europe .............................................................. 51",NA,NA
"IV.","IV.",NA,NA
"Unser Plan für ein Land, das wieder zusammenhält.....................54","Our plan for a country that sticks together again.....................54",NA,NA
"Ja zu Leitkultur und Zusammenhalt................................................ 54 Ja zu Familie und Verantwortung ....................................................","Yes to a guiding culture and cohesion................................................ 54 Yes to family and responsibility ....................................................",NA,NA
"60 Ja zu Aufstieg durch Bildung ............................................................ 62 Ja zu leistungsstarker beruflicher und akademischer Bildung.... 64 Ja zu guter Gesundheit und Pflege ................................................... 67 Ja zu bezahlbarem Bauen, Wohnen und zukunftsfähiger Mobilität............................................................................................... 70 Ja zu einem funktionierenden Staat – das ist unser Zukunftsversprechen ........................................................................ 73","60 Yes to advancement through education ............................................................ 62 Yes to high-performing vocational and academic education.... 64 Yes to good health and care ................................................... 67 Yes to affordable construction, housing and sustainable mobility............................................................................................... 70 Yes to a functioning state - that is our promise for the future ........................................................................ 73",NA,NA
"Wahlaufruf ................................................................................................ 79","Election appeal ................................................................................................ 79",NA,NA
"- LANGFASSUNG -","- LONG VERSION -","H",NA
"I. Für ein Deutschland, auf das wir wieder stolz sein können","I. For a Germany that we can be proud of again","H",NA
"Unsere Bundesrepublik Deutschland ist eine großartige Erfolgsgeschichte: Wiederaufbau, Wirtschaftswunder und Weltmeistertitel, Westbindung, Friedliche Revolution, Wiedervereinigung und Aufbauleistung der Ostdeutschen, Wohlstand, Soziale Marktwirtschaft mit guter Arbeit und starken Sozialversicherungen, „Made in Germany“ als weltweit bekanntes Qualitätssiegel, eine starke Europäische Union, unsere Freundschaft mit Frankreich und Polen, Aussöhnung mit Israel und transatlantische Partnerschaft, Freiheit und Sicherheit.","Our Federal Republic of Germany is a great success story: Reconstruction, economic miracle and world championship title, ties to the West, peaceful revolution, reunification and the East Germans' reconstruction efforts, prosperity, social market economy with good work and strong social security, ""Made in Germany"" as a globally recognized seal of quality, a strong European Union, our friendship with France and Poland, reconciliation with Israel and transatlantic partnership, freedom and security.","601.1",NA
"Darauf können wir stolz sein!","We can be proud of that!","601.1",NA
"Die vergangenen Jahre zeichnen leider ein anderes, schlechteres Bild unseres Landes: Die Wirtschaft schrumpft,","Unfortunately, the past few years have painted a different, worse picture of our country: The economy is shrinking,","410",NA
"unsere Industrie ist international unter Druck,","our industry is under international pressure,","410",NA
"die Infrastruktur zum Teil marode.","the infrastructure is in some cases dilapidated.","411",NA
"Die Arbeitslosigkeit steigt,","Unemployment is rising and","701",NA
"die sozialen Sicherungssysteme sind in Schieflage.","social security systems are in a precarious state.","504",NA
"Populisten und Extremisten vertiefen die Spaltung immer weiter.","Populists and extremists are deepening the divide.","606.1",NA
"Zugleich erleben wir Herausforderungen historischen Ausmaßes: Deutschland und Europa müssen sich der Bedrohung ihrer Sicherheit erwehren","At the same time, we are facing challenges of historic proportions: Germany and Europe must defend themselves against threats to their security","104",NA
"und sind weiter mit massiver illegaler Migration konfrontiert.","and continue to be confronted with massive illegal migration.","601.2",NA
"Hinzu kommen tiefgreifende Umbrüche im Zuge der Digitalisierung","In addition, there are profound upheavals in the course of digitalization","411",NA
"und nicht zuletzt die Menschheitsaufgabe Klimawandel.","and, last but not least, the human challenge of climate change.","501",NA
"Wir wissen aber auch: Deutschland hat alles, um wieder nach vorne zu kommen.","But we also know that Germany has everything it needs to move forward again.","601.1",NA
"Wir wissen um die Talente und Fähigkeiten, die jeder Einzelne mitbringt.","We are aware of the talents and skills that each individual brings to the table.","601.1",NA
"Wir wissen, dass mit Eigenverantwortung, Leistung und Solidarität wieder etwas Großes entstehen kann.","We know that with personal responsibility, performance and solidarity, something great can be created again.","601.1",NA
"Wir glauben an die Kraft und den Ideenreichtum der Menschen.","We believe in the strength and inventiveness of people.","401",NA
"Wir glauben an ein wehrhaftes Deutschland, das Verantwortung in Europa und der Welt übernimmt und seine Interessen selbstbewusst vertritt.","We believe in a strong Germany that takes responsibility in Europe and the world and confidently represents its interests.","104",NA
"Wir glauben an die große Kraft in unserem Land.","We believe in the great strength in our country.","601.1",NA
"Diese Kraft werden wir freisetzen.","We will unleash this power.","601.1",NA
"Dafür braucht unser Land eine Regierung, die verlässlich arbeitet und die wirklich wichtigen Dinge anpackt: Wohlstand für alle,","To do this, our country needs a government that works reliably and tackles the really important things: Prosperity for all,","410",NA
"Sicherheit","security","605.1",NA
"und Zusammenhalt.","and cohesion.","606.1",NA
"Unser Land braucht Stabilität und Aufbruch.","Our country needs stability and new beginnings.","305.3",NA
"Unser Land braucht einen Politikwechsel.","Our country needs a change of policy.","305.1",NA
"Dafür treten wir als CDU und CSU bei der Bundestagswahl gemeinsam an.","That is why we, the CDU and CSU, are standing together in the Bundestag elections.","305.1",NA
"Und dafür werben wir um Vertrauen.","And that is why we are campaigning for trust.","305.1",NA
"Wir glauben daran, dass Deutschland mit einer neuen Politik wieder nach vorne kommt.","We believe that Germany can move forward again with a new policy.","305.1",NA
"Wir sorgen dafür, dass Deutschland mit einer neuen Politik wieder nach vorne kommt.","We will ensure that Germany moves forward again with a new policy.","305.1",NA
"Jetzt heißt es: Machen statt reden!","Now it's time to do instead of talk!","305.1",NA
"Regieren statt streiten!","Governing instead of arguing!","305.1",NA
"Wir haben einen Plan für Deutschland.","We have a plan for Germany.","305.1",NA
"Die Zeit drängt.","Time is pressing.","305.1",NA
"Wir setzen einen starken Impuls für Aufbruch und Zuversicht.","We are providing a strong impetus for new beginnings and confidence.","305.1",NA
"Wir wollen ein Land, das wieder Wohlstand für alle schafft.","We want a country that once again creates prosperity for all.","410",NA
"Wir wollen ein Land, das frei","We want a country that is free","201.1",NA
"und wieder sicher ist.","and safe again.","605.1",NA
"Wir wollen ein Land, das wieder zusammenhält.","We want a country that holds together again.","606.1",NA
"Wir wollen Deutschland wieder nach vorne bringen.","We want to bring Germany forward again.","601.1",NA
"Ein Deutschland, auf das wir wieder stolz sein können.","A Germany that we can be proud of again.","601.1",NA
"II. Unser Plan für ein Land, das wieder Wohlstand für alle schafft","II Our plan for a country that once again creates prosperity for all","H",NA
"Deutschland ist eine starke Volkswirtschaft.","Germany is a strong economy.","601.1",NA
"Deutschland hat alles, was es braucht: Wir sind das Land des Mittelstands und der Familienunternehmen, der Hidden Champions und des Handwerks, der Selbständigen und der freien Berufe, der innovativen Gründer und der weltweit erfolgreichen Industrie- und Dienstleistungsunternehmen.","Germany has everything it needs: We are a country of SMEs and family businesses, of hidden champions and skilled trades, of the self-employed and the liberal professions, of innovative start-ups and globally successful industrial and service companies.","601.1",NA
"Und überall und mittendrin: fleißige Arbeitnehmerinnen und Arbeitnehmer, die unser Land am Laufen halten, kreative Erfinder, exzellente Ingenieure und Landwirte, die uns mit hochwertigen Lebensmitteln versorgen.","And everywhere and in the middle of it all: hard-working employees who keep our country running, creative inventors, excellent engineers and farmers who supply us with high-quality food.","601.1",NA
"Darauf können wir setzen, auch in schwieriger Zeit – und das müssen wir auch.","We can rely on them, even in difficult times - and we must.","601.1",NA
"Die wirtschaftliche Lage in unserem Land ist angespannt,","The economic situation in our country is tense,","410",NA
"die industrielle Basis brüchig geworden","the industrial base has become fragile","410",NA
"und damit auch die Stabilität unseres sozialen Netzes.","and with it the stability of our social safety net.","504",NA
