"text","text_en","cmp_code","eu_code"
"Deine Stimme für Schleswig-Holstein","Your vote for Schleswig-Holstein",NA,NA
"SSW – Deine Stimme für Schleswig-Holstein","SSW - Your voice for Schleswig-Holstein",NA,NA
"Inhalt","Contents",NA,NA
"Der SSW tritt zum ersten Mal seit 60 Jahren zur Bundestagswahl an6","SSW contests federal election for the first time in 60 years6",NA,NA
"Die Interessen Schleswig-Holsteins in Berlin besser vertreten 8","Better represent Schleswig-Holstein's interests in Berlin 8",NA,NA
"Der SSW gibt regionale Antworten auf die Coronapandemie und den Dauerkrisenmodus unserer Zeit10","The SSW provides regional responses to the corona pandemic and the permanent crisis mode of our time10",NA,NA
"Das wollen wir im Bundestag erreichen:12","This is what we want to achieve in the Bundestag:12",NA,NA
"Der Bund muss sich stärker in der Minderheitenpolitik engagieren12","The federal government must become more involved in minority policy12",NA,NA
"Bessere deutsch-dänische Kooperation schafft Arbeitsplätze in Schleswig-Holstein 18","Better German-Danish cooperation creates jobs in Schleswig-Holstein 18",NA,NA
"Klimaund Umweltschutz in Schleswig-Holstein schneller umsetzen 22","Implement climate and environmental protection more quickly in Schleswig-Holstein 22",NA,NA
"Die Coronakrise zeigt, dass Gesundheit keine Ware sein darf30","The Corona crisis shows that health should not be a commodity30",NA,NA
"Hartz IV überwinden:","Overcoming Hartz IV:",NA,NA
"Wir brauchen ein neues Sozialstaatsmodell 36","We need a new welfare state model 36",NA,NA
"Gleichstellung ist ein gesellschaftlicher Grundsatz 42","Equality is a social principle 42",NA,NA
"Der Bund muss mehr in den Ausbau der Verkehrsinfrastruktur und in die Digitalisierung in Schleswig-Holstein investieren 46","The federal government must invest more in expanding the transport infrastructure and in digitization in Schleswig-Holstein 46",NA,NA
"Regional und nachhaltig: Wir brauchen eine andere Landwirtschaftspolitik52 Wirtschaftsund Finanzpolitik nicht auf dem Rücken der Schwächsten 56","Regional and sustainable: We need a different agricultural policy52 Economic and financial policy not on the backs of the weakest 56",NA,NA
"Bildungspolitik, die gleiche Chancen für alle schafft60","Education policy that creates equal opportunities for all60",NA,NA
"Kulturpolitik ist ein elementarer Bestandteil unseres demokratischen Gemeinwesens 62","Cultural policy is an elementary component of our democratic community 62",NA,NA
"Innenund Rechtspolitik mit den Bürger*innen im Mittelpunkt66","Domestic and legal policy with citizens at the center66",NA,NA
"Asylpolitik in einer humanen Gesellschaft72","Asylum Policy in a Humane Society72",NA,NA
"Die Bundesrepublik muss eine positive und friedliche Rolle in der EU und der internationalen Politik spielen 74","The Federal Republic must play a positive and peaceful role in the EU and international politics 74",NA,NA
"Deine Zweitstimme:","Your second vote:",NA,NA
