"text","text_en","cmp_code","eu_code"
"Es geht auch anders: Nur Gerechtigkeit sichert Zukunft! Die Zeit drängt. Deutschland braucht Veränderung","There is another way: Only justice secures the future! Time is pressing. Germany needs change",NA,NA
"Deutschland hat eine Regierung, die mit großen Hoffnungen gewählt wurde – wegen Schröders Versprechen und Lafontaines Programm.","Germany has a government that was elected with high hopes - because of Schröder's promises and Lafontaine's program.","305",NA
"Doch den Politikwechsel ist sie schuldig geblieben.","But it has failed to bring about a change in policy.","305",NA
"Die Bundesregierung hat den großen Konzernen und Banken viel, den meisten Menschen in Deutschland wenig gebracht.","The federal government has brought a lot to the big corporations and banks, but little to most people in Germany.","503",NA
"Sie hat Krieg wieder zum Mittel deutscher Politik gemacht,","It has once again made war a tool of German policy,","105",NA
"und sie hat ihre Arbeitsplatzversprechen nicht gehalten.","and it has failed to deliver on its job promises.","701",NA
"Wir sehen nicht nur die Krisen dieses Landes und das Versagen der herrschenden Politik.","We see not only the crises of this country and the failure of the ruling policy.","305",NA
"Wir schätzen den geistigen, kulturellen und ethischen Reichtum der Menschen, die in Deutschland leben.","We value the intellectual, cultural and ethical richness of the people who live in Germany.","601",NA
"Wir wissen um die wirtschaftliche, finanzielle und politische Macht und die großen Möglichkeiten der Bundesrepublik Deutschland.","We are aware of the economic, financial and political power and the great opportunities of the Federal Republic of Germany.","601",NA
"Um so empörender ist die Bilanz mit Millionen Arbeitslosen,","The result is all the more outrageous, with millions of unemployed,","701",NA
"zunehmender sozialer Spaltung und Ausgrenzung","increasing social division and exclusion,","503",NA
"und einer Politik, die demokratische Standards abbaut,","and a policy that dismantles democratic standards","202",NA
"Bildung und Zukunftschancen junger Menschen kaputt spart,",", cuts education and future opportunities for young people,","506",NA
"Frauen gesellschaftlich benachteiligt und sie millionenfach in schlecht bezahlte Teilzeitarbeit und sozial ungesicherte Arbeitsverhältnisse abdrängt.","socially discriminates against women, and pushes millions of them into poorly paid part-time work and socially insecure jobs.","706",NA
"Gesellschaftliche Solidarität ist unter den Regierungen von Kohl und Schröder zum Auslaufmodell geworden.","Social solidarity has become a discontinued model under the governments of Kohl and Schröder.","503",NA
"Privatisierung der sozialen Sicherheit und eine skandalöse Umverteilung des gesellschaftlichen Reichtums von unten nach oben sind die bedrohlichen Ergebnisse dieser Politik.","Privatization of social security and a scandalous redistribution of social wealth from the bottom to the top are the ominous results of this policy.","504",NA
"Dem Osten, schon um viele Chancen von 1989 betrogen, droht ein unumkehrbarer Abstieg – die Jugend geht weg.","The East, already cheated of many opportunities from 1989, is threatened with irreversible decline - the youth is leaving.","503",NA
"In immer kürzeren Abständen ist Krieg das Instrument der Regierenden in der NATO, um ihre Vorherrschaft in dieser gefährdeten und konfliktreichen Welt durchzusetzen.","At ever shorter intervals, war is the instrument of NATO's rulers to assert their dominance in this vulnerable and conflict-ridden world.","105",NA
"Statt die Wurzeln des internationalen Terrorismus – Ausbeutung und Unterdrückung, Perspektivlosigkeit und kulturelle Zerstörung – zu beseitigen, werden mit Angriffskriegen und Völkerrechtsbruch weitere Ursachen für ihn gefördert.","Instead of eliminating the roots of international terrorism - exploitation and oppression, lack of prospects and cultural destruction - further causes for it are promoted with wars of aggression and violation of international law.","105",NA
"Die Alternative der CDU/CSU zu dieser Politik heißt Stoiber, nicht Gerechtigkeit, Frieden, Arbeit.","The CDU/CSU's alternative to this policy is Stoiber, not Justice, Peace, Work.","305",NA
"SPD und Grüne einerseits, CDU/CSU andererseits streiten um die Regierungsmacht und um Nuancen der gleichen Politik.","The SPD and the Greens on the one hand, and the CDU/CSU on the other, are fighting over government power and over nuances of the same policies.","305",NA
"Doch am Beginn des neuen Jahrhunderts sind die Gegenkräfte auch in Deutschland erkennbar.","But at the beginning of the new century, the opposing forces are also evident in Germany.","305",NA
"Globalisierungskritische Bewegungen haben neue Fragen auf die Tagesordnung dieser Gesellschaft gesetzt und Einfluss gewonnen.","Movements critical of globalization have put new questions on the agenda of this society and gained influence.","305",NA
"Die intellektuelle Debatte in der Bundesrepublik hat an gesellschaftskritischer Dimension gewonnen.","The intellectual debate in the Federal Republic has gained a socio-critical dimension.","305",NA
"In Teilen der Gewerkschaften und der Kirchen, in Frauen-, Jugend-, Friedens- und Antirassismusinitiativen wird dem herrschenden Neoliberalismus hörbar widersprochen.","In parts of the trade unions and the churches, in women's, youth, peace and anti-racism initiatives, there is audible opposition to the prevailing neoliberalism.","305",NA
"Und Deutschland hat eine Partei, die in Bundestag und Öffentlichkeit gegen Krieg, gesellschaftliche Erstarrung und soziale Ungerechtigkeit opponiert.","And Germany has a party that opposes war, social rigidity and social injustice in the Bundestag and in public.","305",NA
"Die Partei des Demokratischen Sozialismus will realistische Politik.","The Party of Democratic Socialism wants realistic politics.","305",NA
"Sie scheut nicht den kleinen Schritt und nicht den historischen Kompromiss.","It does not shy away from the small step or the historic compromise.","305",NA
"Sie hält fest an ihrem Ziel, wirkungsvoll zu einem Mitte-Links-Bündnis in Deutschland beizutragen.","It is sticking to its goal of contributing effectively to a center-left alliance in Germany.","305",NA
"Aber es gibt keine Ziele, wegen derer sie „Ja“ sagen würde zu einer Beteiligung an Kriegspolitik.","But there are no goals because of which it would say ""yes"" to involvement in war policy.","105",NA
"Es gibt keine Koalition, wegen der sie „Ja“ sagen würde zur Fortsetzung einer Politik der sozialen Kälte.","There is no coalition because of which it would say ""yes"" to the continuation of a policy of social coldness.","503",NA
"Es gibt kein Argument, wegen dessen sie bereit wäre, sich mit dem Abbruch demokratischer und freiheitlicher Rechte abzufinden.","There is no argument on the basis of which it would be willing to acquiesce in the abrogation of democratic and libertarian rights.","202",NA
"Die PDS will eine neue Politik.","The PDS wants a new policy.","305",NA
"Gemeinsam mit Betroffenen, mit Gewerkschaften, Verbänden, Vereinen, Initiativen.","Together with those affected, with trade unions, associations, clubs, initiatives.","606",NA
"Sie streitet für eine reiche Zukunft für Kinder und Jugendliche","It fights for a rich future for children and young people and does","706",NA
"und findet sich nicht ab mit der gesellschaftlichen Spaltung zu Lasten der Frauen.","not accept the social division to the detriment of women.","706",NA
"Die PDS hat viel geleistet, um Voraussetzungen für eine politische und gesellschaftliche Alternative zu schaffen.","The PDS has done much to create conditions for a political and social alternative.","305",NA
"Auf Seiten der Sozialdemokratie bestehen diese Bedingungen jedoch ganz offenkundig noch nicht.","On the part of social democracy, however, these conditions clearly do not yet exist.","305",NA
"Deshalb kann es für die PDS gegenwärtig keine andere Entscheidung geben: Sie geht als oppositionelle Partei gegenüber der jetzigen Regierungspolitik und deren allzu ähnlichen konservativen Alternativen in den Bundestagswahlkampf 2002 und in die neue Legislaturperiode.","Therefore, there can be no other decision for the PDS at present: It enters the 2002 Bundestag election campaign and the new legislative period as an opposition party to the current government policy and its all-too-similar conservative alternatives.","305",NA
"Das sollen die Wählerinnen und Wähler wissen.","That's what we want voters to know.","000",NA
"Darauf können sie sich verlassen.","They can count on that.","305",NA
"Deutschland braucht diese PDS, die gegen die Vorherrschaft des Großkapitals in Staat und Gesellschaft ankämpft,","Germany needs this PDS, which fights against the domination of big business in state and society,","503",NA
"die Engagement der Menschen will","wants the engagement of the people","606",NA
"und die natürlichen Lebensgrundlagen verteidigt.","and defends the natural foundations of life.","501",NA
